날짜,시간,경기,게임센터,하이라이트,TV,라디오,구장,비고
,14:00,LG11vs4SSG,리뷰,하이라이트,K-2T,,문학,-
,17:00,롯데3vs10삼성,리뷰,하이라이트,SPO-2T,,대구,-
,17:00,KT11vs1키움,리뷰,하이라이트,SPO-T,,고척,-
,,,,,SS-T,,,
,17:00,NC2vs7한화,리뷰,하이라이트,KN-T,,대전,-
,,,,,MS-T,,,
04.20(일),14:00,KIA6vs2두산,리뷰,하이라이트,SPO-2T,,잠실,-
,14:00,LG3vs9SSG,리뷰,하이라이트,MS-T,,문학,-
,14:00,롯데4vs3삼성,리뷰,하이라이트,M-T,,대구,-
,14:00,KT5vs0키움,리뷰,하이라이트,SPO-T,,고척,-
,,,,,SS-T,,,
,14:00,NC1vs7한화,리뷰,하이라이트,KN-T,,대전,-
04.22(화),18:30,NC6vs5LG,리뷰,하이라이트,KN-T,,잠실,-
,18:30,한화vs롯데,,,SPO-2T,,사직,우천취소
,18:30,KIAvs삼성,,,SS-T,,대구,우천취소
,18:30,SSG3vs9KT,리뷰,하이라이트,MS-T,,수원,-
,18:30,두산4vs5키움,리뷰,하이라이트,SPO-T,,고척,-
04.23(수),18:30,NC0vs3LG,리뷰,하이라이트,KN-T,,잠실,-
,18:30,한화6vs4롯데,리뷰,하이라이트,SPO-2T,,사직,-
,18:30,KIA2vs7삼성,리뷰,하이라이트,SS-T,,대구,-
,18:30,SSG11vs5KT,리뷰,하이라이트,MS-T,,수원,-
,18:30,두산8vs2키움,리뷰,하이라이트,SPO-T,,고척,-
04.24(목),18:30,NC3vs1LG,리뷰,하이라이트,KN-T,,잠실,-
,18:30,한화3vs5롯데,리뷰,하이라이트,SPO-2T,,사직,-
,18:30,KIA5vs17삼성,리뷰,하이라이트,SS-T,,대구,-
,18:30,SSG6vs5KT,리뷰,하이라이트,MS-T,,수원,-
,18:30,두산9vs3키움,리뷰,하이라이트,SPO-T,,고척,-
04.25(금),18:30,롯데8vs2두산,리뷰,하이라이트,SPO-T,,잠실,-
,18:30,키움3vs4SSG,리뷰,하이라이트,SPO-2T,,문학,-
,18:30,NC6vs10삼성,리뷰,하이라이트,SS-T,,대구,-
,18:30,LG6vs5KIA,리뷰,하이라이트,MS-T,,광주,-
,18:30,KT2vs1한화,리뷰,하이라이트,KN-T,,대전,-
04.26(토),14:00,롯데7vs4두산,리뷰,하이라이트,K-2T,,잠실,-
,14:00,LG4vs8KIA,리뷰,하이라이트,S-T,,광주,-
